name,price,category,colors,inventory,note,tag,inStock,images
Essentials Hoodie,75,Tops,"Washed Black: 3, Dark Oak: 2, Light Oak: 1","Washed Black: 3 in stock | Dark Oak: 2 in stock | Light Oak: LIMITED","Best seller this season",Best Item,TRUE,https://cdn-images.farfetch-contents.com/27/35/86/22/27358622_57322612_600.jpg|https://cdn-images.farfetch-contents.com/18/65/99/25/18659925_40518678_600.jpg
Essentials Shorts,45,Bottoms,"Washed Black: 5, Dark Oak: OUT","Washed Black: 5 in stock | Dark Oak: OUT OF STOCK",,"Available colors",TRUE,https://www.crepslocker.com/cdn/shop/products/Fear-Of-God-Essentials-Black-Shorts-_SS22_-Crepslocker-Front.jpg?v=1658163784|https://images.urbndata.com/is/image/UrbanOutfitters/82928409_009_m?$xlarge$&fit=constrain&qlt=80&wid=640
Essentials Uncuffed Sweatpants,60,Bottoms,"Washed Black: 4, Dark Oak: 2, Light Oak: 3","Washed Black: 4 | Dark Oak: 2 | Light Oak: 3","Great condition",New Arrival,TRUE,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/100/576/842/original/746243_01.jpg.jpeg?action=crop&width=750|https://i.ebayimg.com/images/g/NgYAAeSwqYJpWKC9/s-l1200.jpg
Essentials Sweatpants,65,Bottoms,"Black: 2, Dark Oak: 1, Light Oak: 2","Black: LIMITED (2 left) | Dark Oak: 1 | Light Oak: 2","Comfortable fit",,"TRUE",https://createfashionbrand.com/wp-content/uploads/2024/06/novo-2.webp
Polo T-Shirt,45,Tops,"Black Red: 6, Black White: 3, Grey: 2","Black Red: 6 in stock | Black White: 3 in stock | Grey: 2 in stock",,"Popular item",TRUE,https://images.asos-media.com/products/polo-ralph-lauren-large-player-logo-chest-stripe-heavyweight-t-shirt-in-black-red/208824895-5?$n_640w$&wid=513&fit=constrain|https://images.asos-media.com/products/polo-ralph-lauren-large-player-logo-chest-stripe-heavyweight-t-shirt-in-black-red/208824895-4?$n_640w$&wid=513&fit=constrain
Stussy T-Shirts,40,Tops,"Multiple colors available","Red: 2 | Blue: 3 | Black: 1","QC pics on request",,"TRUE",https://images.stockx.com/images/Stussy-x-Denim-Tears-501-Jean-Indigo-Product.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp
Gallery Dept T-Shirt,70,Tops,"Black: 3, Grey: SOLD OUT","Black: 3 in stock | Grey: OUT OF STOCK","Send picture for QC",,"TRUE",https://images.stockx.com/images/Gallery-Dept-Centered-Logo-Hoodie-Black.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&q=60&dpr=1&trim=color|https://images.stockx.com/images/Gallery-Dept-Flames-Hoodie-Black.jpg?fit=fill&bg=FFFFFF&w=480&h=320&q=60&dpr=1&trim=color
Bathing Ape T-Shirt,35,Tops,"Black: 4, Red: 2, White: 1","Black: 4 | Red: 2 | White: 1 LEFT","Contact for sizing",,"TRUE",https://uk.bape.com/cdn/shop/files/001TEK701309_BLK_A.jpg?v=1727970912&width=1200|https://uk.bape.com/cdn/shop/files/001CSJ801010_RED_A.jpg?v=1750757026&width=1200
Balenciaga x Lamborghini Shirt,110,Tops,"Black only","Only Black available | LIMITED STOCK","Rare piece",,"TRUE",https://images.stockx.com/images/Balenciaga-Automobil-Lamborghini-Oversized-Soccer-T-shirt-Black.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&q=60&dpr=1&trim=color|https://www.mrporter.com/variants/images/46376663162909067/in/w2000_q60.jpg
Bape Hoodies,90,Tops,"Grey: 2, Blue: 3, Red: 1, Pink: SOLD OUT","Grey: 2 | Blue: 3 | Red: 1 | Pink: SOLD OUT","Best Bape on market","Best Bape Rep",TRUE,https://uk.bape.com/cdn/shop/files/001ZPK701005_GRA_B.jpg?v=1732123147&width=1200|https://images.stockx.com/images/BAPE-Fire-Camo-Shark-Full-Zip-Hoodie-Blue.jpg?fit=fill&bg=FFFFFF&w=700&h=500&fm=webp
Gallery Dept Hoodies,80,Tops,"Black: 2, Grey: 1","Black: 2 in stock | Grey: 1 in stock","Excellent quality",,"TRUE",https://images.stockx.com/images/Gallery-Dept-Flames-Hoodie-Black.jpg?fit=fill&bg=FFFFFF&w=480&h=320&q=60&dpr=1&trim=color|https://images.stockx.com/images/Gallery-Dept-Centered-Logo-Hoodie-Black.jpg?fit=fill&bg=FFFFFF&w=1200&h=857&q=60&dpr=1&trim=color
Chrome Hearts Long Sleeve,65,Tops,"Black: 3","Black: 3 available | Send pic for QC","Best Chrome rep","Top Item",TRUE,https://www.oakshop.ca/cdn/shop/products/Chrome-Hearts-Floral-Cross-L-S-T-shirt-Black_jpg.webp?v=1759468060|https://maisonguava.com/cdn/shop/files/ce9b8b0f46c24318f3e419e42d5a0cdf.webp?v=1746201237&width=1080
SP5DER Hoodies,80,Tops,"Black: 2, Grey: 1","Black: 2 | Grey: LIMITED 1","Awesome quality",,"TRUE",https://images.stockx.com/images/Sp5der-OG-Web-Hoodie-Black-ProductX.jpg?fit=fill&bg=FFFFFF&w=480&h=320&q=60&dpr=1&trim=color|https://image.made-in-china.com/2f0j00MnkBiQtGvYqE/Sp5der-Hoodies-Web-Graphic-Hoodie-with-Spider-Print-Street-Ready-Sweatshirt.jpg
Denim Tears Hoodie & Pants Set,160,Tops,"Black: 1, Blue: 1, Pink: SOLD OUT","Black: 1 LAST ONE | Blue: 1 | Pink: OUT OF STOCK","Complete set, excellent",,"TRUE",https://cdn-images.farfetch-contents.com/22/46/90/60/22469060_52374270_1000.jpg|https://cdn.shopify.com/s/files/1/0640/3846/9846/files/Denim-Tears-Cotton-Wreath-Hoodie-Black-Monochrome_1.webp?v=1737097545
SyNAH Shorts & Shirt Set,75,Tops,"Black: 2, Pink: 1, Grey: 3, Blue: 1","Black: 2 | Pink: 1 | Grey: 3 | Blue: 1","Full set ready",,"TRUE",https://cdn.shopify.com/s/files/1/0603/3031/1875/files/main-square_d62ec801-4c25-41b9-bc01-1626b74cedde.jpg?v=1716370214
Chrome Hearts Shirt Set,110,Tops,"Black: 1","Black: 1 available only","Rare item",,"TRUE",https://www.oakshop.ca/cdn/shop/products/Chrome-Hearts-Floral-Cross-L-S-T-shirt-Black-2_jpg.webp?v=1744321030&width=480
Denim Tears Shorts,55,Bottoms,"Black: 2, Blue: 1","Black: 2 | Blue: LIMITED 1","QC pics available",,"TRUE",https://images.stockx.com/images/Denim-Tears-The-Cotton-Wreath-Shorts-Black-Product.jpg?fit=fill&bg=FFFFFF&w=480&h=320&q=60&dpr=1&trim=color|http://balazskicks.com/cdn/shop/files/Screenshot2025-07-22at13.10.50.png?v=1753182703&width=2048
Hellstar Shorts,70,Bottoms,"Black: 4, Pink: 2","Black: 4 in stock | Pink: 2 in stock",,"Nice condition",TRUE,https://image.goat.com/transform/v1/attachments/product_template_additional_pictures/images/101/834/337/original/1442084_01.jpg.jpeg?action=crop&width=750|https://img4.dhresource.com/webp/m/0x0/f3/albu/km/s/30/2a15a49a-f26b-4477-859d-e60c8060bc4d.jpg
Bape Shorts,60,Bottoms,"Grey: 3, Pink: 1, Blue: 2, Black: 1","Grey: 3 | Pink: 1 LEFT | Blue: 2 | Black: 1",,"Available colors",TRUE,https://uk.bape.com/cdn/shop/files/001SPL231902_GRN_A.jpg?v=1744369027&width=800|https://us.bape.com/cdn/shop/files/001SPK231901_GRN_A.jpg?v=1711568986&width=800
Polo Shorts,35,Bottoms,"Black: 5, White: 2, Blue: 3","Black: 5 | White: 2 | Blue: 3",,"In stock",TRUE,https://cms.brnstc.de/product_images/680x930_retina/cpro/media/images/product/24/7/100106794611000_0_1720172123625.jpg|https://cms.brnstc.de/product_images/680x930_retina/cpro/media/images/product/25/4/100282500811000_0_1744905844124.jpg
